sentence,relation,entities,sentence_no_tags
The <e1>microprocessor cluster</e1> has been migrated into high-end embedded <e2>applications</e2>.,18,"['microprocessor cluster', 'applications']",The microprocessor cluster has been migrated into high-end embedded applications.
They were ready to bake the best darn <e1>cakes</e1> that ever popped out of an <e2>oven</e2>.,8,"['cakes', 'oven']",They were ready to bake the best darn cakes that ever popped out of an oven.
The <e1>demonstrators</e1> descended from the <e2>vehicles</e2> and marched five kilometers.,8,"['demonstrators', 'vehicles']",The demonstrators descended from the vehicles and marched five kilometers.
His <e1>interview</e1> for Colonel James Critchfield of the CIA's Gehlen Organization that runs to nearly a thousand pages was hidden in the CIA's <e2>files</e2> for years.,4,"['interview', 'files']",His interview for Colonel James Critchfield of the CIA's Gehlen Organization that runs to nearly a thousand pages was hidden in the CIA's files for years.
"Once all the <e1>corn</e1> <e2>liquor</e2> is collected, you have to proof it down.",9,"['corn', 'liquor']","Once all the corn liquor is collected, you have to proof it down."
The <e1>navigator</e1> did his job then with a Plath <e2>sextant</e2> and a chronograph.,11,"['navigator', 'sextant']",The navigator did his job then with a Plath sextant and a chronograph.
"The <e1>bathroom</e1> comprises bath tub with electric shower, <e2>wash basin</e2> and WC.",3,"['bathroom', 'wash basin']","The bathroom comprises bath tub with electric shower, wash basin and WC."
The <e1>system</e1> uses a <e2>filter</e2> to clean the air that the central vacuum has taken in.,3,"['system', 'filter']",The system uses a filter to clean the air that the central vacuum has taken in.
The following <e1>regulations</e1> govern <e2>refunds</e2> available upon withdrawal from the University or when other changes of status take place.,14,"['regulations', 'refunds']",The following regulations govern refunds available upon withdrawal from the University or when other changes of status take place.
We teach conflict resolution <e1>skills</e1> to young people through <e2>workshops</e2> in schools and youth centres.,15,"['skills', 'workshops']",We teach conflict resolution skills to young people through workshops in schools and youth centres.
"In economic terms, <e1>pollution</e1> from fossil <e2>fuels</e2> is regarded as a negative externality and should be taxed.",1,"['pollution', 'fuels']","In economic terms, pollution from fossil fuels is regarded as a negative externality and should be taxed."
"Third, air and water <e1>pollution</e1> from fossil <e2>fuels</e2> are a huge problem in China.",1,"['pollution', 'fuels']","Third, air and water pollution from fossil fuels are a huge problem in China."
Once he dangled his <e1>axe</e1> by the <e2>helve</e2> to sight along the tree trunk.,3,"['axe', 'helve']",Once he dangled his axe by the helve to sight along the tree trunk.
"The Ca content in the <e1>corn</e1> <e2>flour</e2> has also a strong dependence on the pericarp thickness (Gutierrez et al., 2007).",9,"['corn', 'flour']","The Ca content in the corn flour has also a strong dependence on the pericarp thickness (Gutierrez et al., 2007)."
The <e1>suitcase</e1> was full of smart new <e2>clothes</e2>.,5,"['suitcase', 'clothes']",The suitcase was full of smart new clothes.
There are three different <e1>oestrogens</e1> made by your <e2>body</e2>.,16,"['oestrogens', 'body']",There are three different oestrogens made by your body.
The pandemic H1N1 flu virus was confirmed in a <e1>flock</e1> of breeder <e2>turkeys</e2> in Virginia.,13,"['flock', 'turkeys']",The pandemic H1N1 flu virus was confirmed in a flock of breeder turkeys in Virginia.
"Murmur of Water, Kuttimuratov's other piece I photographed for you, shows the Zoroastrian <e1>goddess</e1> of water with a <e2>fish</e2>.",18,"['goddess', 'fish']","Murmur of Water, Kuttimuratov's other piece I photographed for you, shows the Zoroastrian goddess of water with a fish."
"In 1880, there was a strong <e1>typhoon</e1> and an earthquake that lead to the <e2>destruction</e2> of the instrument.",0,"['typhoon', 'destruction']","In 1880, there was a strong typhoon and an earthquake that lead to the destruction of the instrument."
"In the beginning, the <e1>yarn</e1> was stored in plastic Ikea <e2>bins</e2>.",4,"['yarn', 'bins']","In the beginning, the yarn was stored in plastic Ikea bins."
Two extra-time goals sent the <e1>team</e1> into the Carling <e2>final</e2>.,18,"['team', 'final']",Two extra-time goals sent the team into the Carling final.
"Buoyed by liberal attitudes such as those, <e1>politicians</e1> across Western Europe are stepping out of the <e2>closet</e2>.",8,"['politicians', 'closet']","Buoyed by liberal attitudes such as those, politicians across Western Europe are stepping out of the closet."
"It took Sonu Shamdasani, the primary translator and the <e1>writer</e1> of a 33-page introductory <e2>essay</e2>, two years to persuade Jung's family to let him start working on a colour copy of the original book.",17,"['writer', 'essay']","It took Sonu Shamdasani, the primary translator and the writer of a 33-page introductory essay, two years to persuade Jung's family to let him start working on a colour copy of the original book."
"Still, Wondrich, a onetime history professor who is now the drinks correspondent for Esquire magazine, was the man who made me see the light about <e1>rye</e1> <e2>whiskey</e2>.",9,"['rye', 'whiskey']","Still, Wondrich, a onetime history professor who is now the drinks correspondent for Esquire magazine, was the man who made me see the light about rye whiskey."
The foreign <e1>company</e1> has entered into the insurance <e2>market</e2> in China.,18,"['company', 'market']",The foreign company has entered into the insurance market in China.
"Well rested from our relaxing day pool side, the <e1>tourists</e1> had an early departure from the <e2>hotel</e2>.",8,"['tourists', 'hotel']","Well rested from our relaxing day pool side, the tourists had an early departure from the hotel."
He learnt about their <e1>divorce</e1> from a <e2>newspaper</e2>.,15,"['divorce', 'newspaper']",He learnt about their divorce from a newspaper.
"Also included is our Commission Authorization form, which collects the <e1>author</e1>'s contact <e2>information</e2> and authorizes us to retain our standard 5% commission.",18,"['author', 'information']","Also included is our Commission Authorization form, which collects the author's contact information and authorizes us to retain our standard 5% commission."
"Far below and a universe away, a <e1>constellation</e1> of <e2>windows</e2> darkened.",13,"['constellation', 'windows']","Far below and a universe away, a constellation of windows darkened."
"One <e1>faction</e1> of netherwing <e2>dragons</e2>, named the Netherwing, were attacked by the Dragonmaw orcs of Shadowmoon Valley and many were enslaved by Zuluhed, including the female Karynaku (mate of Neltharaku) who was leader of the brood.",13,"['faction', 'dragons']","One faction of netherwing dragons, named the Netherwing, were attacked by the Dragonmaw orcs of Shadowmoon Valley and many were enslaved by Zuluhed, including the female Karynaku (mate of Neltharaku) who was leader of the brood."
The ditch was dug and the <e1>rampart</e1> piled up by <e2>gangs</e2> of men working in sections.,16,"['rampart', 'gangs']",The ditch was dug and the rampart piled up by gangs of men working in sections.
<e1>Speeding</e1> is one of the more obvious causes of pedestrian <e2>accidents</e2>.,0,"['Speeding', 'accidents']",Speeding is one of the more obvious causes of pedestrian accidents.
Family <e1>values</e1> and meanings are narrated through family <e2>albums</e2>.,15,"['values', 'albums']",Family values and meanings are narrated through family albums.
It was a jigsaw puzzle game of several spilled <e1>pecans</e1> in a <e2>dish</e2>.,4,"['pecans', 'dish']",It was a jigsaw puzzle game of several spilled pecans in a dish.
The <e1>axis</e1> of the drive <e2>wheel</e2> of the internal Geneva drive haves a bearing only on one side.,2,"['axis', 'wheel']",The axis of the drive wheel of the internal Geneva drive haves a bearing only on one side.
"Even though the network's <e1>programming</e1> covers the <e2>political process</e2>, the network receives no funding from the government.",14,"['programming', 'political process']","Even though the network's programming covers the political process, the network receives no funding from the government."
"The <e1>tea bag</e1> was in a <e2>mug</e2>, which made the whole process more straightforward.",4,"['tea bag', 'mug']","The tea bag was in a mug, which made the whole process more straightforward."
Microsoft has announced an <e1>alliance</e1> of various industry <e2>partners</e2> whose goal is to fight the Conficker worm.,13,"['alliance', 'partners']",Microsoft has announced an alliance of various industry partners whose goal is to fight the Conficker worm.
The <e1>images</e1> show a <e2>group</e2> of men that detectives want to question.,14,"['images', 'group']",The images show a group of men that detectives want to question.
The <e1>detainee</e1> traveled to Afghanistan on a forged <e2>passport</e2>.,11,"['detainee', 'passport']",The detainee traveled to Afghanistan on a forged passport.
"Thorstein has no choice but to ride to the village of Hof and deal with Thord, the <e1>man</e1> who struck him with the <e2>staff</e2>.",11,"['man', 'staff']","Thorstein has no choice but to ride to the village of Hof and deal with Thord, the man who struck him with the staff."
Numerous international <e1>treatises</e1> assert the <e2>obligation</e2> to give medical care without discrimination to all victims in a war zone.,14,"['treatises', 'obligation']",Numerous international treatises assert the obligation to give medical care without discrimination to all victims in a war zone.
"A <e1>lamentation</e1> of <e2>swans</e2> is swimming on the lake, some are on the shore, and others are flying.",13,"['lamentation', 'swans']","A lamentation of swans is swimming on the lake, some are on the shore, and others are flying."
Note that the relevant superannuation fund(s) must be notified of the <e1>employee</e1>'s departure from the <e2>company</e2>.,8,"['employee', 'company']",Note that the relevant superannuation fund(s) must be notified of the employee's departure from the company.
"This year, many <e1>films</e1> from Asian countries are entering into the <e2>film festival</e2>.",6,"['films', 'film festival']","This year, many films from Asian countries are entering into the film festival."
"The <e1>high temperature</e1> caused a <e2>decomposition reaction</e2>, increased the inner pressure of the reactor, and resulted in a rupture.",0,"['high temperature', 'decomposition reaction']","The high temperature caused a decomposition reaction, increased the inner pressure of the reactor, and resulted in a rupture."
"New Zealand raised a force to fight in Europe and sent a <e1>brigade</e1> of mounted <e2>riflemen</e2> and a brigade of infantry which after meeting up with the Australians, was diverted to Egypt.",13,"['brigade', 'riflemen']","New Zealand raised a force to fight in Europe and sent a brigade of mounted riflemen and a brigade of infantry which after meeting up with the Australians, was diverted to Egypt."
He hold the <e1>body</e1> of the <e2>plane</e2> loosely between two fingers with the nose of the plane pointing toward the floor.,2,"['body', 'plane']",He hold the body of the plane loosely between two fingers with the nose of the plane pointing toward the floor.
The <e1>scientists</e1> and monitored the depth while studying the narrows through <e2>binoculars</e2>.,11,"['scientists', 'binoculars']",The scientists and monitored the depth while studying the narrows through binoculars.
These people dropped <e1>animal food</e1> into the <e2>lake</e2>.,6,"['animal food', 'lake']",These people dropped animal food into the lake.
Five <e1>space shuttle orbiters</e1> have flown into <e2>space</e2> on NASA's missions.,6,"['space shuttle orbiters', 'space']",Five space shuttle orbiters have flown into space on NASA's missions.
"Athos, Porthos and Aramis were soldiers in the very prestigious <e1>regiment</e1> of The King's <e2>musketeers</e2> - something like King's Guard- which main arm, in the battlefield was the musket, a very heavy gun that needed to be held on a fork.",13,"['regiment', 'musketeers']","Athos, Porthos and Aramis were soldiers in the very prestigious regiment of The King's musketeers - something like King's Guard- which main arm, in the battlefield was the musket, a very heavy gun that needed to be held on a fork."
<e1>Access</e1> to Two Gateway Center is gained from a <e2>doorway</e2> just inside the Liberty Avenue vehicle entrance.,18,"['Access', 'doorway']",Access to Two Gateway Center is gained from a doorway just inside the Liberty Avenue vehicle entrance.
Branton bridge <e1>solicitors</e1> entered into the <e2>administration building</e2>.,6,"['solicitors', 'administration building']",Branton bridge solicitors entered into the administration building.
"It is a general rule of thumb that the tastier and more expensive a blended whisky is, the more single malt, i.e., <e1>barley</e1> <e2>whisky</e2>, has gone into its making.",9,"['barley', 'whisky']","It is a general rule of thumb that the tastier and more expensive a blended whisky is, the more single malt, i.e., barley whisky, has gone into its making."
"The <e1>school</e1> convinced jurors with <e2>plans</e2> for ground-breaking research programs, such as the Karlsruhe School of Optics and Photonics.",17,"['school', 'plans']","The school convinced jurors with plans for ground-breaking research programs, such as the Karlsruhe School of Optics and Photonics."
The <e1>deterioration</e1> has been caused by an apparently endless <e2>recession</e2>.,1,"['deterioration', 'recession']",The deterioration has been caused by an apparently endless recession.
The <e1>money</e1> was put into <e2>education</e2> and health.,6,"['money', 'education']",The money was put into education and health.
"He poured <e1>water</e1> into a <e2>cookie pan</e2>, put the mold into the pan, and froze the two together.",6,"['water', 'cookie pan']","He poured water into a cookie pan, put the mold into the pan, and froze the two together."
"The <e1>apartment</e1> comprises of two <e2>bedrooms</e2> with fitted wardrobes, two bathrooms with tub, a spacious kitchen and lounge/dining room...",3,"['apartment', 'bedrooms']","The apartment comprises of two bedrooms with fitted wardrobes, two bathrooms with tub, a spacious kitchen and lounge/dining room..."
I pressed the <e1>button</e1> of the radio <e2>transmitter</e2> to be programmed 1x.,2,"['button', 'transmitter']",I pressed the button of the radio transmitter to be programmed 1x.
Here is another <e1>work</e1> from the pen of a vital American <e2>composer</e2>.,16,"['work', 'composer']",Here is another work from the pen of a vital American composer.
After a short playing session they walked off on the trail of a <e1>couple</e1> of lone female <e2>Impalas</e2>.,13,"['couple', 'Impalas']",After a short playing session they walked off on the trail of a couple of lone female Impalas.
The <e1>committee</e1> came up with some interesting <e2>recommendations</e2>.,17,"['committee', 'recommendations']",The committee came up with some interesting recommendations.
"The greatest exponent of monounsaturated fat is <e1>olive</e1> <e2>oil</e2>, and it is a prime component of the Mediterranean Diet.",9,"['olive', 'oil']","The greatest exponent of monounsaturated fat is olive oil, and it is a prime component of the Mediterranean Diet."
My father spent his <e1>money</e1> on his <e2>company</e2>.,6,"['money', 'company']",My father spent his money on his company.
"My <e1>wife</e1> quickly prepared scrambled eggs and black <e2>coffee</e2> and took them back to bed with her copy of ""Miss Pettigrew lives for a Day"".",17,"['wife', 'coffee']","My wife quickly prepared scrambled eggs and black coffee and took them back to bed with her copy of ""Miss Pettigrew lives for a Day""."
I took a look at the way and in what direction the <e1>door</e1> of the <e2>dryer</e2> swings open since there was limited space in my laundry room.,2,"['door', 'dryer']",I took a look at the way and in what direction the door of the dryer swings open since there was limited space in my laundry room.
"The scientific, yet understandable reasons of why the L*Bo Aid is so effective in eliminating and preventing <e1>elbow pain</e1> due to epicondylitis commonly referred to as ""Tennis Elbow"" and <e2>tendinitis</e2>.",1,"['elbow pain', 'tendinitis']","The scientific, yet understandable reasons of why the L*Bo Aid is so effective in eliminating and preventing elbow pain due to epicondylitis commonly referred to as ""Tennis Elbow"" and tendinitis."
The <e1>baby bat</e1> was blown into the squirrel's treetop <e2>nest</e2> by a storm.,6,"['baby bat', 'nest']",The baby bat was blown into the squirrel's treetop nest by a storm.
The principal hazard facing the publisher with respect to reviews is getting panned by an honest <e1>book</e1> <e2>reviewer</e2> or scammed by a phony book reviewer.,18,"['book', 'reviewer']",The principal hazard facing the publisher with respect to reviews is getting panned by an honest book reviewer or scammed by a phony book reviewer.
The money-laced <e1>comforter</e1> was in a <e2>suitcase</e2> bound for the Middle East aboard a commercial flight.,4,"['comforter', 'suitcase']",The money-laced comforter was in a suitcase bound for the Middle East aboard a commercial flight.
The <e1>process</e1> departs from an <e2>inspiration</e2> and idea generation phase based on challenges the company faces in the coming years.,1,"['process', 'inspiration']",The process departs from an inspiration and idea generation phase based on challenges the company faces in the coming years.
"Shrimp <e1>paste</e1> is a key ingredient used for making Thai <e2>curry</e2> and it is also used in many spicy soups, salads, sauces and stir-fries.",2,"['paste', 'curry']","Shrimp paste is a key ingredient used for making Thai curry and it is also used in many spicy soups, salads, sauces and stir-fries."
The <e1>decline</e1> has been caused by the <e2>immigration</e2> of lower ability immigrants.,1,"['decline', 'immigration']",The decline has been caused by the immigration of lower ability immigrants.
The Country Lane Charm <e1>birdhouse</e1> is made from antique salvaged barn <e2>wood</e2>.,8,"['birdhouse', 'wood']",The Country Lane Charm birdhouse is made from antique salvaged barn wood.
One <e1>factory</e1>'s <e2>output</e2> or waste-product became the raw materials of another factory (preferably nearby).,17,"['factory', 'output']",One factory's output or waste-product became the raw materials of another factory (preferably nearby).
The following <e1>letter</e1> was sent to <e2>members</e2> of the U.S. Senate.,6,"['letter', 'members']",The following letter was sent to members of the U.S. Senate.
This <e1>machine</e1> was in a <e2>suitcase</e2> that was the size of a carry-on bag and weighed less than 10 pounds.,4,"['machine', 'suitcase']",This machine was in a suitcase that was the size of a carry-on bag and weighed less than 10 pounds.
"Simple plastic covered wire baskets with wheels on a rail, allows access to the <e1>rear</e1> of the <e2>refrigerator</e2>.",2,"['rear', 'refrigerator']","Simple plastic covered wire baskets with wheels on a rail, allows access to the rear of the refrigerator."
"Judging by the decorations in the <e1>shop</e1> <e2>windows</e2>, it is Christmas time.",3,"['shop', 'windows']","Judging by the decorations in the shop windows, it is Christmas time."
"Instead, <e1>criminal law</e1> is set out in a diverse <e2>range</e2> of statutes and court decisions.",1,"['criminal law', 'range']","Instead, criminal law is set out in a diverse range of statutes and court decisions."
"Here, the <e1>coast</e1> comprises coastal <e2>lowlands</e2> that receive the many small rivers flowing from the lake-studded plains of the island's western half.",18,"['coast', 'lowlands']","Here, the coast comprises coastal lowlands that receive the many small rivers flowing from the lake-studded plains of the island's western half."
Infectious <e1>conjunctivitis</e1> is the most common cause of <e2>pinkeye</e2> around the world.,0,"['conjunctivitis', 'pinkeye']",Infectious conjunctivitis is the most common cause of pinkeye around the world.
Afterwards the <e1>work</e1> points out the great <e2>difficulties</e2> due to the measurement of those parameters and reports about some experimental investigations executed.,14,"['work', 'difficulties']",Afterwards the work points out the great difficulties due to the measurement of those parameters and reports about some experimental investigations executed.
The <e1>singing</e1> comes from the substantial <e2>figure</e2> of Mole - Paul Smith in the normal world - who crams into his days a full-time job.,1,"['singing', 'figure']",The singing comes from the substantial figure of Mole - Paul Smith in the normal world - who crams into his days a full-time job.
"His poetry began enjoying increasing success, and in 1933 he was able to earn his living exclusively from his writings, joining the <e1>collective</e1> of young <e2>writers</e2> at the magazine Ogonyok.",13,"['collective', 'writers']","His poetry began enjoying increasing success, and in 1933 he was able to earn his living exclusively from his writings, joining the collective of young writers at the magazine Ogonyok."
"The <e1>bible</e1> was in a <e2>trunk</e2> that was sent to Fort Worth, Texas.",4,"['bible', 'trunk']","The bible was in a trunk that was sent to Fort Worth, Texas."
The <e1>author</e1> uses <e2>symbolism</e2> in order to show the importance of some ideals and main themes of the novel.,11,"['author', 'symbolism']",The author uses symbolism in order to show the importance of some ideals and main themes of the novel.
"<e1>Strawberry</e1> <e2>tea</e2> tastes almost as delicious as the berry itself, with a mild and fruity flavor.",9,"['Strawberry', 'tea']","Strawberry tea tastes almost as delicious as the berry itself, with a mild and fruity flavor."
The <e1>bacon</e1> is home cured by our local <e2>butcher</e2> who also supplies the award winning sausages.,18,"['bacon', 'butcher']",The bacon is home cured by our local butcher who also supplies the award winning sausages.
"These <e1>studios</e1> became veritable ""hit factories"" that produced many of the most successful pop <e2>recordings</e2> of the latter 20th century.",17,"['studios', 'recordings']","These studios became veritable ""hit factories"" that produced many of the most successful pop recordings of the latter 20th century."
"The 1886 <e1>terraces</e1> are of historic importance to Geelong, having been built by the <e2>philanthropist</e2> Elizabeth Austin.",16,"['terraces', 'philanthropist']","The 1886 terraces are of historic importance to Geelong, having been built by the philanthropist Elizabeth Austin."
"Finally, the <e1>slider</e1> was inserted up into the <e2>machine</e2> and used to trip the payout switch.",6,"['slider', 'machine']","Finally, the slider was inserted up into the machine and used to trip the payout switch."
The second day of the <e1>conference</e1> started with the fourth <e2>session</e2> on knowledge.,3,"['conference', 'session']",The second day of the conference started with the fourth session on knowledge.
The morning <e1>session</e1> of the symposium comprises <e2>contributions</e2> from former group members and ends with a reunion lunch for the attendees.,3,"['session', 'contributions']",The morning session of the symposium comprises contributions from former group members and ends with a reunion lunch for the attendees.
The adult <e1>female</e1> has a faint emerald green <e2>collar</e2> that is difficult to discern in the field.,3,"['female', 'collar']",The adult female has a faint emerald green collar that is difficult to discern in the field.
The Demon Princes is a five-book series of science fiction <e1>novels</e1> which cumulatively relate the <e2>story</e2> of Kirth Gersen.,14,"['novels', 'story']",The Demon Princes is a five-book series of science fiction novels which cumulatively relate the story of Kirth Gersen.
"The damage in Washington was so much less than the <e1>damage</e1> caused by the 1994 Northridge <e2>earthquake</e2>, despite that their magnitudes were so similar-- 6.8 vs. 6.7.",1,"['damage', 'earthquake']","The damage in Washington was so much less than the damage caused by the 1994 Northridge earthquake, despite that their magnitudes were so similar-- 6.8 vs. 6.7."
A specially built <e1>sculpture</e1> of the ship emerges from the <e2>harbour</e2>.,8,"['sculpture', 'harbour']",A specially built sculpture of the ship emerges from the harbour.
"The highland <e1>barley</e1> <e2>beer</e2> produced in Tibet has been becoming increasingly popular among Americans since the first batch of 11,340 boxes of such beer were shipped to the United States in May.",9,"['barley', 'beer']","The highland barley beer produced in Tibet has been becoming increasingly popular among Americans since the first batch of 11,340 boxes of such beer were shipped to the United States in May."
The <e1>award</e1> comprises a <e2>trophy</e2> and a certificate and is being run by The British Cartographic Society with the support of Stanfords Map Shop.,3,"['award', 'trophy']",The award comprises a trophy and a certificate and is being run by The British Cartographic Society with the support of Stanfords Map Shop.
"The <e1>violence</e1> in Indonesia's Aceh province has been discussed at <e2>talks</e2> in Jakarta between President Wahid and the visiting Malaysian prime minister, Mahathir Mohamad.",15,"['violence', 'talks']","The violence in Indonesia's Aceh province has been discussed at talks in Jakarta between President Wahid and the visiting Malaysian prime minister, Mahathir Mohamad."
"Aboriginal <e1>people</e1> have repeatedly been popularly described through coarse, even racist <e2>caricatures</e2>.",15,"['people', 'caricatures']","Aboriginal people have repeatedly been popularly described through coarse, even racist caricatures."
The hotel sector passed on <e1>benefits</e1> to the <e2>consumers</e2>.,6,"['benefits', 'consumers']",The hotel sector passed on benefits to the consumers.
It showed a photo of it being enclosed in a black plastic case and the <e1>disc</e1> was enclosed in <e2>paper</e2>.,4,"['disc', 'paper']",It showed a photo of it being enclosed in a black plastic case and the disc was enclosed in paper.
I even have a <e1>friend</e1> who cooks the cans in a pressure <e2>cooker</e2> because she can't be bothered cooking them on the stove for 3 hours.,11,"['friend', 'cooker']",I even have a friend who cooks the cans in a pressure cooker because she can't be bothered cooking them on the stove for 3 hours.
The <e1>picture</e1> of Madonna and Child in Glory with St Sebastian and St Rocco on the far wall of the church of Campello sul Clitunno was completed by one of his <e2>pupils</e2> from a preparatory drawing by Lo Spagna.,16,"['picture', 'pupils']",The picture of Madonna and Child in Glory with St Sebastian and St Rocco on the far wall of the church of Campello sul Clitunno was completed by one of his pupils from a preparatory drawing by Lo Spagna.
"Here, we analysed changes in heterozygosity over time in an insular mouflon (Ovis aries) <e1>population</e1> founded by two <e2>individuals</e2> in 1957.",18,"['population', 'individuals']","Here, we analysed changes in heterozygosity over time in an insular mouflon (Ovis aries) population founded by two individuals in 1957."
"The <e1>train</e1> departs from the Bryson City, NC train <e2>depot</e2> on its magical journey to the North Pole.",8,"['train', 'depot']","The train departs from the Bryson City, NC train depot on its magical journey to the North Pole."
The <e1>windshield</e1> encloses a parachute <e2>housing</e2> containing a parachute assembly.,5,"['windshield', 'housing']",The windshield encloses a parachute housing containing a parachute assembly.
"In early 2007 renewed a coal mining <e1>activity</e1> in the region triggered the <e2>earthquake</e2>, although earthquake activity has been present in the area at least since white settlement first occurred.",0,"['activity', 'earthquake']","In early 2007 renewed a coal mining activity in the region triggered the earthquake, although earthquake activity has been present in the area at least since white settlement first occurred."
In experiments so far the <e1>researchers</e1> have produced spider <e2>silk</e2> by inserting the gene into the genome of cows and hamsters.,17,"['researchers', 'silk']",In experiments so far the researchers have produced spider silk by inserting the gene into the genome of cows and hamsters.
This little cutie was once a <e1>jumper</e1> knitted by my <e2>grandmother</e2>.,16,"['jumper', 'grandmother']",This little cutie was once a jumper knitted by my grandmother.
"Since last year, many <e1>people</e1> are sinking into <e2>debt</e2>.",18,"['people', 'debt']","Since last year, many people are sinking into debt."
The <e1>report</e1> insisted on the <e2>need</e2> to guarantee income security independently of the variations in economic circumstances.,14,"['report', 'need']",The report insisted on the need to guarantee income security independently of the variations in economic circumstances.
He placed the <e1>ashes</e1> in a <e2>jar</e2> and divided them equally into eight portions.,6,"['ashes', 'jar']",He placed the ashes in a jar and divided them equally into eight portions.
"This <e1>bacteria</e1> causes skin infections, colds, or <e2>diarrhea</e2>.",0,"['bacteria', 'diarrhea']","This bacteria causes skin infections, colds, or diarrhea."
Washington has fiddled while other states poured <e1>money</e1> into higher <e2>education</e2>.,6,"['money', 'education']",Washington has fiddled while other states poured money into higher education.
The UN has transported <e1>troops</e1> into the deep <e2>jungle</e2> of Cambodia.,6,"['troops', 'jungle']",The UN has transported troops into the deep jungle of Cambodia.
"A <e1>script</e1> was written describing the initial <e2>situation</e2>, with ongoing scenarios developed containing essential actions.",14,"['script', 'situation']","A script was written describing the initial situation, with ongoing scenarios developed containing essential actions."
He was all asshatty about the mural on the <e1>wall</e1> of the <e2>building</e2> and thus he did not spend much time in cities.,2,"['wall', 'building']",He was all asshatty about the mural on the wall of the building and thus he did not spend much time in cities.
"Brushing the air with both hands and <e1>coughing</e1> from the <e2>dust</e2>, it settled on both vehicles.",1,"['coughing', 'dust']","Brushing the air with both hands and coughing from the dust, it settled on both vehicles."
But all these Friedmann universes are very different from the kind of expansion one gets when the <e1>universe</e1> originated in an <e2>explosion</e2>.,8,"['universe', 'explosion']",But all these Friedmann universes are very different from the kind of expansion one gets when the universe originated in an explosion.
Storing <e1>clothing</e1> in a cedar <e2>chest</e2> protected the apparel from the damaging effects of moth larvae.,4,"['clothing', 'chest']",Storing clothing in a cedar chest protected the apparel from the damaging effects of moth larvae.
<e1>Experts</e1> said that the creation of such <e2>facilities</e2> contributes to strengthening the city's position as one of eastern Cuba's major tourist destinations.,18,"['Experts', 'facilities']",Experts said that the creation of such facilities contributes to strengthening the city's position as one of eastern Cuba's major tourist destinations.
<e1>Anger</e1> leads to <e2>aggressions</e2> towards colleagues.,0,"['Anger', 'aggressions']",Anger leads to aggressions towards colleagues.
The organization delivered <e1>meals</e1> to homebound <e2>seniors</e2>.,6,"['meals', 'seniors']",The organization delivered meals to homebound seniors.
The former <e1>emission</e1> arose from the primary collisional <e2>excitation</e2>.,1,"['emission', 'excitation']",The former emission arose from the primary collisional excitation.
We present a <e1>perception</e1> driven autonomous urban <e2>vehicle</e2>.,10,"['perception', 'vehicle']",We present a perception driven autonomous urban vehicle.
A solar calendar is a calendar whose <e1>dates</e1> indicate the <e2>position</e2> of the earth on its revolution around the sun.,18,"['dates', 'position']",A solar calendar is a calendar whose dates indicate the position of the earth on its revolution around the sun.
The regiment is composed of ten battalions of 400 heavy infantry and 50 light infantry each plus an extra <e1>unit</e1> of 1000 <e2>pikemen</e2> and 500 extra light infantry.,13,"['unit', 'pikemen']",The regiment is composed of ten battalions of 400 heavy infantry and 50 light infantry each plus an extra unit of 1000 pikemen and 500 extra light infantry.
This <e1>magazine</e1> has thrown together a <e2>list</e2> of the Top 100 albums between 2000 and 2009.,17,"['magazine', 'list']",This magazine has thrown together a list of the Top 100 albums between 2000 and 2009.
"Traditionally the national <e1>dish</e1> of the island is 'Spuds and Herrin', boiled potatoes and <e2>herring</e2>.",3,"['dish', 'herring']","Traditionally the national dish of the island is 'Spuds and Herrin', boiled potatoes and herring."
Weights were added to the other side of the balance until <e1>tissue</e1> release from the <e2>choroidal side</e2> was achieved.,8,"['tissue', 'choroidal side']",Weights were added to the other side of the balance until tissue release from the choroidal side was achieved.
Newly generated <e1>pneuroblasts</e1> are migrating into the <e2>dam</e2>.,6,"['pneuroblasts', 'dam']",Newly generated pneuroblasts are migrating into the dam.
Shri Pandit Krishnapal Sharma made approximately 1 tola of gold from 1 tola of mercury in front of us; the <e1>mercury</e1> was put inside a <e2>shell</e2> of reetha.,6,"['mercury', 'shell']",Shri Pandit Krishnapal Sharma made approximately 1 tola of gold from 1 tola of mercury in front of us; the mercury was put inside a shell of reetha.
I even placed the <e1>dish</e1> in a cold <e2>oven</e2> as directions state.,6,"['dish', 'oven']",I even placed the dish in a cold oven as directions state.
This sweet satisfaction was only troubled by the <e1>sorrow</e1> caused by the horrible <e2>attack</e2> on the person of a representative of the nation.,1,"['sorrow', 'attack']",This sweet satisfaction was only troubled by the sorrow caused by the horrible attack on the person of a representative of the nation.
Earl turned and leaned on the <e1>railing</e1> of the <e2>balcony</e2>.,2,"['railing', 'balcony']",Earl turned and leaned on the railing of the balcony.
"In a similar context, this circuit has followed the rule that <e1>reinstatement</e1> is a basic element of the appropriate <e2>remedy</e2> in wrongful employee discharge cases.",2,"['reinstatement', 'remedy']","In a similar context, this circuit has followed the rule that reinstatement is a basic element of the appropriate remedy in wrongful employee discharge cases."
I love the sweet and salty <e1>combo</e1> of the watermelon <e2>salads</e2> that have been all over the food world lately.,18,"['combo', 'salads']",I love the sweet and salty combo of the watermelon salads that have been all over the food world lately.
It is exciting to see the <e1>windsurfers</e1> conquer the water body with their impressive <e2>control</e2> and skills.,18,"['windsurfers', 'control']",It is exciting to see the windsurfers conquer the water body with their impressive control and skills.
